Total,date,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,daily,total,
WEEK 1,2020-01-25,,,,,,,,,0,,
,2020-01-26,,,,,,,,,0,,
,2020-01-27,,,,,,,,,0,,
,2020-01-28,,,,,,,,,0,,
,2020-01-29,,,,,,,,,0,,
,2020-01-30,,,,,,,,,0,,
,2020-01-31,,,,,,,,,0,0,0
WEEK 2,2020-02-01,,,,,,,,,0,,
,2020-02-02,,,,,,,,,0,,
,2020-02-03,,,,,,,,,0,,
,2020-02-04,,,,,,,,,0,,
,2020-02-05,,,,,,,,,0,,
,2020-02-06,,,,,,,,,0,,
,2020-02-07,,,,,,,,,0,0,
WEEK 3,2020-02-08,,,,,,,,,0,,
,2020-02-09,,,,,,,,,0,,
,2020-02-10,,,,,,,,,0,,
,2020-02-11,,,,,,,,,0,,
,2020-02-12,,,,,,,,,0,,
,2020-02-13,,,,,,,,,0,,
,2020-02-14,,,,,,,,,0,0,
WEEK 4,2020-02-15,,,,,,,,,0,,
,2020-02-16,,,,,,,,,0,,
,2020-02-17,,,,,,,,,0,,
,2020-02-18,,,,,,,,,0,,
,2020-02-19,,,,,,,,,0,,
,2020-02-20,,,,,,,,,0,,
,2020-02-21,,,,,,,,,0,0,
WEEK 5,2020-02-22,,,,,,,,,0,,
,2020-02-23,,,,,,,,,0,,
,2020-02-24,,,,,,,,,0,,
,2020-02-25,,,,,,,,,0,,
,2020-02-26,,,,,,,,,0,,
,2020-02-27,,,,,,,,,0,,
,2020-02-28,,,,,,,,,0,0,
WEEK 6,2020-02-29,,,,,,,,,0,,0
,2020-03-01,,,,,,,,,0,,
,2020-03-02,,,,,,,,,0,,
,2020-03-03,,,,,,,,,0,,
,2020-03-04,,,,,,,,,0,,
,2020-03-05,,,,,,,,,0,,
,2020-03-06,,,,,,,,,0,0,
WEEK 7,2020-03-07,6796,,,,,,,,6796,,
,2020-03-08,420,,,,,,,,420,,
,2020-03-09,1155,,,,,,,,1155,,
,2020-03-10,1794,,,,,,,,1794,,
,2020-03-11,56,,,,,,,,56,,
,2020-03-12,4635,,,,,,,,4635,,
,2020-03-13,1829,,,,,,,,1829,16685,
WEEK 8,2020-03-14,3811,,,,,,,,3811,,
,2020-03-15,2071,,,,,,,,2071,,
,2020-03-16,4397,11700,,,,,,,16097,,
,2020-03-17,3280,2500,,,,,,,5780,,
,2020-03-18,5556,1000,,,,,,,6556,,
,2020-03-19,3289,1980,27064,,,,,,32333,,
,2020-03-20,1562,2157,1322,,,,,,5041,71689,
